id,tag,profile,province,contribution,location,withdrawal,market,savings_rate,oas_defer,cpp_start,split_frac,spending_curve,seed,tw_gross,tw_after_tax,tw_pv,lifetime_tax,lifetime_benefits
150,grid,young_pro,AB,fhsa_first,conventional,rrif_meltdown,bull,0.15,0,65,0.0,flat,42,6914772.73,6702575.63,1072343.17,1013082.4600000004,236065.0
151,grid,young_pro,AB,fhsa_first,conventional,rrif_meltdown,bear,0.15,0,65,0.0,flat,42,285817.57,285817.57,45727.87,896581.0900000007,249518.54
152,grid,young_pro,AB,fhsa_first,conventional,rrif_meltdown,stochastic,0.15,0,65,0.0,flat,42,9824314.13,9477177.17,1516250.89,1717607.25,50878.049999999996
153,grid,young_pro,AB,fhsa_first,conventional,oas_preservation,base,0.15,0,65,0.0,flat,42,1199589.92,969916.01,155176.59,980313.2399999998,271357.0
154,grid,young_pro,AB,fhsa_first,conventional,oas_preservation,bull,0.15,0,65,0.0,flat,42,5538453.07,5243816.01,838956.64,1058975.37,240916.14
155,grid,young_pro,AB,fhsa_first,conventional,oas_preservation,bear,0.15,0,65,0.0,flat,42,393319.93,275981.34,44154.18,843545.5599999999,254051.0
156,grid,young_pro,AB,fhsa_first,conventional,oas_preservation,stochastic,0.15,0,65,0.0,flat,42,9465097.96,8994867.62,1439086.32,1771024.87,103158.84999999999
157,grid,young_pro,AB,fhsa_first,conventional,tfsa_last,base,0.15,0,65,0.0,flat,42,2014722.13,1842507.12,294782.19,941624.1300000001,236065.0
158,grid,young_pro,AB,fhsa_first,conventional,tfsa_last,bull,0.15,0,65,0.0,flat,42,6953665.55,6722799.9,1075578.85,1017325.8800000001,236065.0
159,grid,young_pro,AB,fhsa_first,conventional,tfsa_last,bear,0.15,0,65,0.0,flat,42,589480.85,499505.92,79915.81,826236.7,236065.0
160,grid,young_pro,AB,fhsa_first,conventional,tfsa_last,stochastic,0.15,0,65,0.0,flat,42,10011150.58,9574332.13,1531794.68,1731504.4500000002,75346.69
161,grid,young_pro,AB,fhsa_first,conventional,early_rrif,base,0.15,0,65,0.0,flat,42,1998261.81,1833947.74,293412.78,940207.6,236065.0
